Hi.	Maalɛ.
Tell Tom I'll come.	Ji̱n läri̱ jɛ Töm i̱ bä ben.
That's our problem.	Jɛn ɛ riɛk da.
The door is locked.	Ca bap gäk
The telephone rang.	Ci̱ talɛpɔn yiɔ̱t.
They're not hungry.	Ci̱ pɔth kɛ näk.
This is a template.	Nɛmɛni̱ jɛn ɛ ta̱mpälɛɛt.
Tom ate in silence.	Töm mi̱thɛ bitkä.
Tom ate in silence.	Töm cɛ mi̱th ni bitkä.
Tom ate in silence.	Töm cɛ mi̱th kɛ biɛt.
Tom ate in silence.	Töm cɛ mi̱th bitdɛ.
Tom played all day.	Töm cɛ ŋarkɛ cäŋdäär kɛɛliw.
We do that as well.	Ci̲ nɛy jɛ la̲t ɛ lo̲ŋ.
You are free to go.	Lɔri̱ kɛ we du.
You like elephants.	Cetdi kɛ guɔ̲r.
You're very lonely.	Ɛ ji̱n nikä rɔaadu.
You're very lonely.	Ɛ Ji̱n kärɔadu.
You're very lonely.	Tikä rɔaadu.
Your house is huge.	Duelu ɛ mi̱ di̱i̱t.
All eyes were on me.	Wäŋ di̱aal guic kɛ ni̱ ɣä.
Can you start today?	Dëri̱ jɛ tok ɛn wa̱lɛ ?
Did you believe Tom?	Ɛn Töm puɔ̱nydɛ ci̱ jɛ ŋäth ?
Everybody knows you.	Naath diaal ŋäc kɛn ji̱.
Everybody knows you.	Nɛy diaal ŋäc kɛni̱.
I arrived home late.	Ɣän cä cop kɛ jɔak ciëŋ.
I heard a door open.	Cä bap li̱ŋ ɛ lɛ̈p kɛ jɛ.
I like cold weather.	Ɣän nhɔakä ji̱ɔm mi̱ kɔ̱c kɔ̱ɔ̱c
I'm not saying that.	Ci̱en lar ni̱ɛ nɔmɔ.
I'm only a freshman.	Ɛ ɣän rami̱ kulɛ tok ni̱ jɛ.
I'm still listening.	Kɛ gua̱th ɛmɛ ŋuɔtä li̱äŋ.
Let's go there soon.	Banɛ wä gua̲th ɛmi kɛ gua̲th mi̱ thia̲k.
Many fish are dying.	Meeri̲ rɛc li̲w kɛ.
No bones are broken.	Thiɛlɛ cɔ̲w ti̲ ci̲ töl.
Somebody intervened.	Tëkɛ rami̱ ci̱ rɔ mat thi̱n.
The soup's very hot.	Cuɛy leth kɛ ɛ lɔ̱ŋ.
This beer is bitter.	Kɔaŋ ɛmɛ kɛc ɛ.
This isn't possible.	Nɛmɛ ci̱ɛ thuɔ̱k.
Tom isn't too young.	Töm /cɛ lɛn ŋuot kɛ kuɛ̈.
Tom isn't too young.	Töm /cɛ lɛn ŋuot ɛla ŋuɛ̈t.
Tom stopped singing.	Töm käpni̲ tuar cuɔ̲ɔ̲ŋ.
Tom wasn't grieving.	Töm /cɛ te pärä.
Tom went by bicycle.	Töm cɛ wä kɛ Ɣa̱nyjiɛlɛ.
What room is Tom in?	Ɛ duel ɛndiɛn tee Töm thi̱n nɔ?
Why are you running?	Ɛ ŋu ri̱ŋi̱ kɛ ji̱ mɔ ?
Women don't like me.	Män ci̱ kɛn ɣä nhɔk ?
You can go home now.	Dëri̱ wee ci̱ëŋ ɛn täämɛ.
You need to lay low.	Göɛ ɣöö dee yuɔth piny.
You should be tired.	Di̠ɛwä jɛ bi̠ cuuc.
You wouldn't get it.	/Ciɛ bi̱ jek.
All you need is time.	Jɛn görɛ ɣöö bi̱ gua̱th ri̱ali̱kä.
Did the car look old?	Guɛc kɛ thurbi̲l ɛmɛ ce̲tkɛ dɔaaŋ?
Don't break my heart.	/Cu lɔcdä to̱l.
Don't worry about us.	Cu di̱ɛɛr kɛ kui̱da.
Has Tom quit smoking?	Ci̱ Töm ma̱th tapkä päl ?
He sent for a doctor.	Cɛ ja̲ kä ki̲m
I can't speak French.	Ɣän ruacä kɛ thok Pi̱rɛɛny.
I need some time off.	Ɣän görä thaak lɔ̱ŋkä.
I used to drink beer.	Laa määthä kɛ bi̱rɛɛ.
I usually wear jeans.	Ɣän la la̱thä jakɛt ni̱ ciaaŋ.
I wanted to call you.	Ɣän bä ji̱ cɔal jɔk.
I was here last year.	Mëë thaar ta̱a̱ ɛn gua̱th ɛmɛ.
I was planning on it.	Cä jɛ car ɛn ɣoö bä lät.
I'll need some tools.	Go̱r nɛy tha̱a kuakni̱
I'm a man, not a boy.	Ɛ ɣän wut, ci̱änɛ dhöl.
I'm a private person.	Ɛɤän rami̲ tɛ̲̈ɛ̲̈.
I'm going to be sick.	Ɣän bɛ ɣä moc juey.
I'm going to be sick.	Bɛ ɣä moc juey.
I'm not ready to die.	Ɣän ka̱n rɔriali̱kä kɛ li̱a̱a̱.
It can happen easily.	Derɛ tuɔɔk kɛ duɔ̲ɔ̲p mi̲ thi̲a̲k thi̲a̲k.
Let's not discuss it.	Cuanɛ ruac kɛ kui̲dɛ.
Saturday was special.	Cäŋkä ba̱kɛl rɛl gɔydɛrɔ.
Tell them what to do.	Läri̱ kɛ mi̱n dee kɛnɛ lät.
These are dark times.	Ni̱n ɛ ti̱i̱ kɛ ni̱n ti̱ bɛ̈cbɛ̈ɛ̈c.
They don't trust Tom.	Ci̱ kɛn Töm ŋäth.
They're able to sing.	Kɛn ŋäckɛ diit.
This book isn't mine.	Ɛn bok ɛmɛ ciɛ/duŋdä.
This looks like silk.	Jɛn ce̱tkɛ kɛ cäth.
Tom broke the window.	Ci̱ Töm wërnyi̱n to̱l.
Tom had things to do.	Töm tëë ŋɔak ti̲ de̲rɛ la̲t.
Tom has lots of toys.	Töm tëë kɛɛ kuak ŋarä ti̲ ŋuan.
Tom is a good tenant.	:Töm ɛ cääk ŋɔaani̱ mi̱ gɔaa.
Tom is just thirteen.	Töm ɛ run wäl diɔk
Tom left an hour ago.	Töm cɛ ji̱ɛn kɛ kɔr thaakni̱ ti̱ ci̱ wee.
Tom let Mary do that.	̈Töm canɛ jɛ la̲t i̲nɛ.
We know your brother.	Kɔn ŋäc nɛy dämuɔɔr.
What do you men want?	Nɛkun go̱r kɛn ni̱ ŋu ?
Who invited you guys?	Ɛŋa ci yiɛ la̱rlärɔ?
You should know that.	Däri jɛ ŋa̱c.
All I want is freedom.	Min göörä kärɔa ɛ lɔar
Can Tom do that today?	Bi Töm nɔmɔ la̱t ɛn walɛ?
Can we change history?	Dee kɔn lɛ̈ɛ̈ŋ ɛmɛ gɛr?
Do you have two books?	Ti̱kɛ buɔkni da̱ŋ rɛw?
Do you have two books?	Ti̱kɛ buɔni rɛw?
Do you live here, Tom?	Töm, ciëŋ i̲ ɛn gua̲th ɛmɛ ?
He didn't go to class.	Känɛ we duel gɔ̱ɔ̱kä.
He is afraid of death.	Jɛn dualɛ kɛ li̱a̱.
He went back to Japan.	Cɛ locjɔk k̈ä Japan
How was the interview?	Teetdi̱ ɛn thiëëcni ?
I don't feel too well.	Puɔ̱nydä /cɛ puɔl.
I don't see a problem.	Ka̱nɛ nɛn ɛn ri̱ɛk.
I gave them some food.	Cä kɛ moc kɛ kuän.
I must go and see him.	Bä jɛ yi̱k wee nɛn.
I myself was confused.	Ɣän puɔ̱nydä cɛ ɣä yi̱c.
I'm telling the truth.	Ɣän la̱rä ni thuɔk.
Let me see your notes.	Ɛ tin ci̱ gɔa̱r piny nɛ̈nä.
Let's just go see him.	Ɛduundan la we̲ banɛ jɛ wë nɛn
More work is required.	G̲o̲rɛ la̲t mi̲ di̲i̲t.
Put it where you want.	K,uëŋ ni jɛ guɔ̲a̲th ɛn nhɔki̲
That's what I'm doing.	Ɛ jɛn lɛ̈lä mɔ.
That's what I'm doing.	Ɛ jɛn la̱tä mɔ.
The bridge was bombed.	Kubri̱ ca mär.
Tom was wearing a wig.	Töm cɛ wi̲i̲k la̲th.
Tom wears glasses now.	Töm cɛ nääni la̱th ɛn täämɛ
We're not that stupid.	/Ci̱ nɛy ŋɔak kui̱c inɔ.
What else did you see?	Ɛ ŋu dɔŋ ci̱ nɛn nɔ ?
Who'll do that for us?	Ɛŋa bi̱ nɔmɔ lät kä kɔnɔ?
Who'll do that for us?	Ɛŋa bi̱ nɔmɔ lät kä kɔ mɔ?
Why would Tom do that?	Ɛŋu dee Töm nɔmɔ la̱t kɛ jɛ mɔ?
You need to wait here.	Go̱o̱ri̱ ɣöö bi̱ liep ɛn gua̱th ɛmɛ.
Come by this afternoon.	Ber kɛ gua̲a̲th thiaaŋ ɛmɛ.
Do you play the guitar?	Ji̱ laa ŋari̱ kɛ thom?
Does Tom have a chance?	Dee Töm tëë kɛ baŋ?
Everyone looks worried.	Gui̱ɛcä nɛy diaal ciɛ di̱ɛɛr kɛn.
Good evening, everyone.	cia thiaŋ kɛ mal.
He looked at his watch.	Jɛn guicɛ thaak dɛ.
He looks down on women.	La guicɛ män piny.
I assume I was invited.	Diɛwä jɛ caa ɤä cɔl
I bought three oranges.	Cä lemuuni̱ da̱ŋ di̱ɔ̱k kɔk.
I want to learn karate.	Ɣän göörä ŋi̱i̱c Karate kä
I'll stay home tonight.	ɤän bä tee ciëŋ ɛn thiaani̲.
I'll talk to Tom alone.	Bä ruac kɛ Töm kärɔa.
I'm not your boyfriend.	Ciɛ ɣän luumdu.
It was raining heavily.	Cɛ dɛ̈m ɛ lɔ̱ŋ.
May I start eating now?	Dee mi̱äth tok ?
My father will help me.	Bi̲ gua̲a̲r ɤä luäk.
My neck hurts a little.	ŋuäkdä bɛcɛ kä mi̱ tɔt.
My neck hurts a little.	ŋuäkdä bɛcɛ ɛ määth.
Shall I carry your bag?	Dee bɛ̈ɛ̈kdu kap?
Someone made a mistake.	Ram kɛl cɛ duer la̱t.
Tell Tom to hurry back.	Läri̱ kɔ ɣöö bi̱ Töm luny jɔk.
This is Tom's umbrella.	Kumca̱ŋ ɛmɛ ɛ duŋ Töm.
Tom crossed the border.	Töm cɛ key ŋok.
Tom did an amazing job.	Töm cɛ la̱t mi̱ gääy nath lät.
Tom did this correctly.	Ci̱ Töm ɛ la̱t kɛ gua̱a̱thdɛ
Tom drives a black car.	Töm gɛrɛ thurbi̲i̲l mi ca̲r.
Tom gave Mary a dollar.	Töm cɛ Mɛri̱ moc kɛ Dɔlɔr.
Tom has a nice bicycle.	Töm tee kɛ ji̱o̱k thiɛliɛk mi̱ gɔaa.
Tom is as tall as I am.	Töm jɛn bärɛ ce̱t kɛ ɣä
Tom is at the computer.	tom jɛnɛ ka computɛr.
Tom isn't afraid of us.	Töm cɛ dual kɛ kɔn.
Tom isn't very careful.	Töm cɛ rɔ tiit.
Tom looks very content.	Töm cätdɛ mi tɛth lɔcdɛ.
Tom won't be with Mary.	Töm ci̱ kɛn bi̱ tee kɛɛl kɛnɛ Mɛri̱.
Tom won't believe Mary.	Töm /cɛ mɛrɛ ŋäth.
We have an orange tree.	Tee nɛy kɛ jiath lemuun.
We have to do this now.	Banɛ jɛ dhil la̱t ɛntäämɛ.
We'll obey these rules.	Bi̱ kɔn ŋuɔ̱t yi̱k luɔ̱th.
What's your story, Tom?	Ɛŋu la muɔŋdu, Töm?
What's your story, Tom?	Ɛŋu la caalku, Töm?
Why's Tom still crying?	Ɛ ŋu ro̱t kɛ Töm ɔ ?
Will you study tonight?	Bi̱ kuën ɛn wääri̱?
Caesar was born in Rome.	Köthɛɛr dapkɛ jɛ kä Röm.
He died three years ago.	Cɛ li̱w kɛ kɔr run ti jiɛn diɔ̱k ti ci wä.
I can't leave Australia.	Ɣän cän Athi̱ra̱li̱aa bi̱ ba̱ny pi̱ny.
I didn't buy either one.	Thi̱ɛlɛ mi̱ cä kɔk kä kɛn da̱ŋ rɛw.
I discussed it with Tom.	Ɣän ci̱ nɛy ruac kɔnɛ Töm.
I don't do that anymore.	Cänɛ bi̱ la̱t ɛ we wee nhiam.
I don't want Tom to win.	Cänɛ go̱r i̱ bi̱ Töm pa̱a̱th.
I know that Tom is bald.	Ɣän ŋa̱cä Töm i̱ ɛ wi̱c laaŋ.
I like fishing with Tom.	Ɣän nhɔkä dëp rɛc kɔnɛ Töm kɛɛl
I might be able to help.	Dɔ̲ŋ bä kɛ luäŋ kɛ luäk.
I owe you a big apology.	La̱rä ji̱ dua̱r kɛ kui̱ päli̱kä.
I should do that myself.	Ɣän nɛmɔ dee jɛ la̱t.
I think Tom is confused.	Ɣän di̱ɛwä jɛ ɛn ɣöö ci̱ Töm wi̱dɛ nyuɔn.
I thought you liked Tom.	Di̱ɛɛwä jɛ nhɔki̱ Töm.
Is this milk still good?	Kɛn cak ŋuɔt kɛn kɛ gɔɔy ?
Let's run away together.	Can rɔ̱ɔ̱dan bar kɛɛl.
Mary can speak Japanese.	Mɔri̱ kui̱cɛ thok Japaan.
My wife loves apple pie.	Ci̱ëkdä nhɔkɛ Ɣa̱pɛl.
Spend some time with me.	Teyni kɛɛl kɛ ɣä kɛ thaaŋ guäthni
Tell Tom what Mary said.	Lätniɛ Töm ɛn min ci mɛrɛ jɛ lar.
The baby's name was Tom.	Ci̲öt gatkä ɛn ciɔalɛ Töm.
The lion is eating meat.	Jɛn lony laa camɛni̲ ri̲ŋ.
They took our passports.	Cikɛn pa̱th-puɔt nikɔ ka̱n.
This house is very good.	Duël ɛmɛ jɛn gɔayɛ ɛlɔ̱ŋ.
Those days are now over.	Ɛn tämɛ ni̲n ɛ tɔ̲ cikɛ thuɔk
Tom will never trust me.	Tön ɛ puc cɛ ɣä ŋäth.
What did Tom want to do?	Töm go̱rɛ ɣöö bɛ ŋu la̱t ɔ ?
Are you a coffee drinker?	Ɛ ji̱n määth bunkä?
Can you open this for me?	Ji̱n de̱ri̱ ɣä lëp nɛmni̱ ?
Did you do that recently?	Pay i jɛ la̱t?
I got something from Tom.	Ɣän cä ŋɔakni̱ jek kä Töm.
I know that I don't know.	Ɣän ŋa̱cä jɛ ɛn ɣöö kuäcä jɛ.
I want to be young again.	Nhɔakä ɣöö bi̱ ɣän ɛ ŋuɛ̈t.
I want to paint my house.	Ɣän görä ɣöö ba duëlä rɔth.
I will help him tomorrow.	Bä jɛ luäk i̱ ruun.
I'll join you for dinner.	Bärɔ ma̱t ji kɛ mieth thiaŋ.
I'm going to go with Tom.	Wa̱a̱kɛ bakɔ we kɛɛl kɔnɛ Töm.
I'm going to go with Tom.	Ɣän wa̱a̱kɛ kɛ ɣöö bakɔ we kɛɛl kɔnɛ Töm.
My father has a good job.	Gua̲r tee kɛ la̲t mi̲ gɔaa.
Please don't waste water.	Ji̱n cu ŋar kɛ pi̱.
She has to study science.	Bɛ thaany gɔ̱r.
She speaks ten languages.	Jɛn ruac kɛ thuk ti̱ cuɔp kɛ wäl.
The apples are delicious.	Apɛl jɛn comɛ.
Tom also lives in Boston.	Töm jɛn ci̱ëëŋɛ kä Buɔth tɔɔm.
Tom and I study together.	Ɣän ɛ nɛy ɛ kuën kɔnɛ Töm.
Tom gave us a lot to eat.	Töm cɛ nɛy moc mi̲th ti̲ cam kɛ.
Tom knew Mary was hungry.	Ŋäc Tömɛi̲ Mɛri̲ näk bɔthɛ.
Tom opened the blue door.	Ci̱ Töm bap mi̱ yiëël lɛp.
We need to do more tests.	Go̱o̱r nɛy la̱t ɣɔ̱ɔ̱ni̱ ti̱ kɔkiɛn.
We've lost our umbrellas.	Ci̱ nɛy kumca̱ŋ ni̱kɔ bath.
Would you please help us?	Gɔayɛ dëri̱ nɛy luäk?
Are all these books yours?	Kɛn buɔkni dial ɛ ti̱ni kɛ nyi̱n ku ?
Could you take my picture?	Deri̠ ɣä thur?
Did you play tennis today?	Dëra mi̱ ci̱ ŋar kɛ tɛni̱i̱th ɛn wa̱lɛ?
How does this camera work?	Ci̱ thuurɛ ɛmɛ lät i̱ di̱ ?
I can be there in an hour.	Bä yi̱k cop kɛ kɔr thaakä.
I can't tell you anything.	Thiɛlɛ mi̱ dee la̱ri̱.
I didn't sit in the front.	Ɣän /ka̱n nyuur nhiam
I go to college in Boston.	Ɣän bä wee kä Bo̱thtɔɔm Kɔ̱ɔ̱li̱c.
I knew that Tom was a bum.	Töm ɣän ŋa̱cä jɛ ɛ lät mi̱ gɔaa.
I know Tom is a nonsmoker.	Ŋa̱cä jɛ i̱ ci̱ Töm ma̱th kɛ tap.
I know Tom is intelligent.	Ɣän ŋa̱cä jɛ ɛn Töm i̱ ram mi̱ pɛl pɛl.
I want to go out with you.	Görä ɣöö dëë wä ja̱l kɔn ji̱.
I was thinking of leaving.	Ta̱a̱ rɛy cärkä kɛ ɣöö dee ji̱ɛn,
I will look the other way.	Bä duɔ̱ɔ̱p dɔdi̱ɛn gui̱c.
I'm not writing about you.	/Cien gɔ̱r kɛ kui̱du.
I'm not writing about you.	/Cien gɔ̲r kɛ kui̱du.
I'm the one who saved Tom.	To̱m ɛ ɣän ram kɛl mi̱ tëëk jɛ,
Is this your first flight?	Nɛmɛ ɛ jɛn riäy ɛn jiɛcrɔ kɛ nhiam
Many residents were angry.	Ji̱ ciëëŋni̱ ti ŋuan gakɛ.
Not even one taxi stopped.	Cäŋɛni tɛkthi̱ kɛl känɛ cuɔ̱ŋ.
OK Tom, that should do it.	Tön ɛ jɛn, go̱r bi̱ nɛmɛni̱ la̱t.
This box is full of books.	Ɛn thänduk ɛmɛ cɛ thi̱a̱ŋ kɛ buɔkni̱.
Tom and I were both wrong.	Ɣän kɔnɛ Töm kɔn da̱ŋ rɛw ci̱ nɛy bath.
Tom can't drive very well.	Töm jɛn kui̱cɛ gër thuɔ̱rbiɛɛl.
Tom didn't deserve to die.	Töm /cɛ rɔ̱ŋ kɛ lia̱.
Tom didn't deserve to die.	Töm /cɛ rɔ̱ŋ kɛ ɣöö bɛ li̱w.
Tom has eyesight problems.	Töm jɛn tee kɛ riɛk gui̱äc.
Tom is Canadian, isn't he?	Töm ɣäni̱ raan Kɛnɛdɛ di̱?
Tom left the room quietly.	Töm cɛ jiɛɛn dueel ni bitdä.
Tom left the room quietly.	Töm cɛ dueel ba̱nypiny ni bitdä.
Tom told me you'd do that.	Ci̲ Töm la̲r ɤa i̲ /cië bi̲ la̲t.
Tom was happy to see Mary.	Töm ci̱ lɔcdɛ tɛɛth kɛ nën Mɛɛrɛ.
We do everything together.	Kɔn lätnɛy ti ŋuan kɛɛl.
We need some help in here.	Go̱r nɛy luääk kɛ gua̱a̱th ɛmɛ
Why didn't Tom come today?	Ɛŋu mi ken Töm ben ɛn walɛ?
Why should I learn French?	Ɣän ɛ ŋu gɔ̱a̱rä thok Pi̱rɛɛny kɛ jɛ mɔ?
Would you like some water?	Dee lɔcdu pi̲w go̲r?
You'll never see me again.	Ji̲n ci̲ ɤä bi̲ nyɔk kɛ nën.
Your cat is looking at us.	Nyawdu jɛn giicɛ nɛy.
Are you going out tomorrow?	̈Bi̲ we raar i̲ ruun ?
Do we have a meeting today?	Tee kɔn kɛ duɔl kɛ cäŋ ɛmɛ?
Have you read the book yet?	Ci ji̱n book kuɛn i̱nun?
Have you read the book yet?	Ci kuën kɛ book inun?
Have you read the book yet?	ŋotdi keni book ni kuɛn i̱nun?
Have you read the book yet?	Keni book ni kuɛn i̱nun?
He was elected mayor again.	Ca jɛ kuany ɛla mɛ-yɔr ɛ nyɔk.
I don't drink beer anymore.	Ciänɛ mäthä kɛ Bi̱raa.
I don't really like movies.	Ciän mubini nhɔk
I don't think I'm handsome.	Cän jɛ ŋäth i̲ ɛ ɤän balaŋ.
I had the right to do that.	Ta̱a̱ kɛ cuɔ̱ɔ̱ŋ kɛ lätni̠ kä nɔmɔ.
I knew Tom was lying to us.	ŋacja jɛ ɛn ɣoo kac jɛ ni jɛ.
I know where you were born.	Ɣän ŋa̱cä gua̱a̱th ɛn dap kɛ ji̱ thi̱n.
I know you miss me as well.	Ŋa̱cä jɛ ɛn ɣöö ci̱ ɣä tim bä.
I studied there a year ago.	Ɣän gɔ̱a̱rä thi̱n kɛ ruɔ̱n ëë ci we.
I think Tom could fix this.	Di̱ɛwä jɛ ɛn ɣöö bi̱ Tom ɛ ri̱ali̱kä .
I used to be rich like you.	Cä kɔn ti̱i̱l cie ji.
Let me tell you what I see.	Ɛ ji̲ la̲rä mi̲n cä nɛn
Tom and Mary sang together.	Töm kɛnɛ mɛrɛ ci̱kɛ dit kɛt kɛɛl.
Tom and Mary sang together.	Töm kɛnɛ Mɛrɛ ci̱kɛ tuar kɛɛl.
Tom doesn't have a website.	Thiɛlɛ Töm wɛpthay
Tom doesn't like my family.	Töm /cɛ ji̱ dhɔarä nhɔk.
Tom is sound asleep in bed.	Töm ce̱tɛ mi̱ cɛ tɛ̱c wi̱i̱dhaaŋkä
Tom knew that I loved Mary.	ŋäc Töm ɤöö nhɔakä Mary
Tom said he was unemployed.	Töm ɛjɛni̱ thiɛlɛ la̱t.
Tom says he has experience.	Töm tee kɛ ŋäc.
Tom's dream is coming true.	Ci̱ läk Töm dia̱ thuɔ̱k.
We have no school tomorrow.	thiɛlɛ nɛy (kɔn) duel gɔ̱rä i̱ruun.
We study English every day.	Ɛ nɛy ɛ kuën kɛ ,Ingili̲i̲c ni ciaaŋ
When do you have breakfast?	Ɛ guääth ɛndiɛn bi̱ mäth ruɔ̱n waaŋ cam kɛ jɛ mɔ ?
How about I buy you a drink?	Kä mi̱ cä ji̱ kök mi̱ mathi̱?
I believe that he is honest.	Ɣän ŋa̱thä jɛ i̱ ɛ gua̱n luäŋkä.
I don't want to take a bath.	Ɣän /cien jɛ go̱r i̱, bä puaak.
I got up thirty minutes ago.	Ɣan ca rɔ ji̱ɛc kɛ kɔr mi̱nitni̱ ti̱ jji̱ɛn da̱ŋ di̱ɔ̱k
I know Tom was lying to you.	Ɣän ŋa̱cä jɛ ci̱ Töm kac lat ti̱ ,
I sat down by the telephone.	Cä nyuur kut Talɛponä.
I think you're a bad father.	Ɣän diɛwä jɛ ɛji̱ gua̱ndi̱i̱t mi̱ jiääk.
If Tom were here, he'd help.	Mi tee Töm ɛn wanɛ, dërɛ luäk
My house has three bedrooms.	Duëlä tee kɛ dhaŋni̱ da̱ŋ di̱ɔ̱k.
The baby seems to be asleep.	Gat cetɛ kɛ mi̲ cɛ ni̲ɛɛn.
Tom said he liked that book.	Töm cɛ lar i̲ nhɔkɛ bok ɛmɔ.
Tom was walking very slowly.	Töm cɛ ja̱l ɛmääth ɛlɔ̱ŋ.
Tom went swimming with Mary.	Töm go̲r kët kɛnɛ Mëri̲
Tom's money won't last long.	Töm /ci̱ yio̱o̱kɛ bi̱ jääny.
We'll be back on track soon.	Bi̲ nɛy luny dup kɛ pɛ̈th
What you did made Tom angry.	Min ci la̱t cɛ To̱m jak kä gak.
Who will you be coming with?	Bia ben kɛɛl yiɛnɛ ŋa?
You told me I could do that.	Ci̱ jɛ la̱r ɣä ɛn ɣöö dee jɛ luäŋ.
You're not thinking clearly.	Ji ci̱ cäär kɛ thuɔ̱k.
Your phone was switched off.	Ci̱ talɛpɔndu rɔdɛ gäk.
Are you allowed to fish here?	Ca ji pa̱l ɣöö bi dɛɛp gua̱mɛ?
Are you allowed to fish here?	Ca ji nhök ɣöö bi dɛɛp gua̱mɛ?
Are you allowed to fish here?	Ca ji jakä ɣöö bi dɛɛp gua̱mɛ?
As I said, we have a problem.	Cä lar,te kɔn kɛ riɛk.
Did Tom really tell you that?	C̲i̲ Töm ɛ la̲ri̲ ɛ thuɔ̲k?
Didn't you know Tom did that?	Ciɛ ŋäc i̱ ci Töm ɛ la̱t?
Dolphins are playful animals.	Dɔlpi̲i̲n ɛlëy gua̲n ŋaarkä.
Has Tom completed his degree?	Ɛn Töm cɛ di̱kri̱i̱dɛ thuk?
Has Tom completed his degree?	Ɛn Töm cɛ di̱k-ri̱i̱dɛ thuk?
He'll be married next Sunday.	Jɛn bɛ kuɛɛn kɛ cäŋ kuɔ̱th ɛ bi̱ ben nɔ.
How do you know what Tom did?	Ŋäci jɛ idi̱ ŋu ci Töm ɛ la̱t ɔ?
I always wondered about that.	Laa ga̲a̲c̲ ni̲ ci̲aŋkɛ jɛn nɔmɔ.
I barely make any profit now.	Dakni̱ rëp mi̱ kua̱lɛ jek ɛntämɛ.
I didn't report the accident.	ɤän cän mi̲ ci̲ tuɔ̲ɔ̲k bi tho̲p.
I don't know where I'll live.	kui̲äcä gua̲a̲th in bä ci̲e̲ŋ thi̲n
I don't want to talk anymore.	Ɣän cänɛ gör i̱ tee ram mi̱ bi̱ nɛy ruac.
I would like a word with you.	Dëë met ruac kɛ ji̱.
It was a risk we had to take.	Baa ri̲ɛk banɛ ka̲nɔ
She asked him where he lived.	Ca jɛ thi̱ëëc kɛ gua̱a̱th ɛn ci̱ëëŋɛ thi̱n.
That doesn't to matter to me.	Nɛmɛ jɛn thiɛlɛ mi̱ gɛɛr kä ɣä.
Tom didn't want to stop Mary.	Töm cɛ go̱r i̱ bɛ Mɛri̱ ka̱p cuɔ̱ɔ̱ŋ.
Tom has a very beautiful dog.	Töm tee kɛ ji̱o̱k mi̱ gɔaa ɛlɔ̱ŋ.
Tom has never fallen in love.	Töm /kenɛ raan met nhɔk.
Tom is a professional driver.	Töm ɛ geer mi̱ ci̱ thuɔ̱k thi̱n.
Tom is completely unreliable.	Töm caa jɛ ŋäth ɛ puc.
Tom is doing fine without us.	Töm wëë gɔaa ɛ thiɛlɛ kɔn thi̱n.
Tom isn't likely to be awake.	Töm /cɛ rɔ bi̲ luäŋ kɛ ker
Tom owns a yellow sports car.	Töm tee burbil Ithpɔtkä mi̲ yaan mi̲ la duŋdɛ
Tom really worries about you.	Töm diɛɛrɛ kɛ kui̱i̱du.
Tom wasn't forced to do that.	Töm ka̱nɛ kuɔ̱k ɣöö lɛlɛ nɔmɔ.
Tom will be moving to Boston.	Töm gɛrɛ rɔ wee kä Bɔ̱thtɔɔm
Tom won't visit you tomorrow.	Töm /cɛ ji bi gui̱l i̱, ruun.
Tom's request surprised Mary.	Mɛrɛ cɛ ga̱a̱c kɛ thiëëc Töm.
Tomorrow is Monday, isn't it?	Iruun ɛ jiëcla̱t, /kiɛ ciɛ jɛn?
We didn't bring enough water.	/Ken nɛy pi̱ ti̱ rɔ̱ŋ nööŋ.
Are you and your sister close?	Thi̲e̲e̲ki̲ yiɛnɛ nyi̲muɔɔri̲?
Can I have some water, please?	Dee piw ti̱ tɔt jek kä ji̱?
Everyone was dressed in black.	Nɛy diaal c5kɛ bi̱ääyni ti̱ ca̱a̱r la̱th ni wënkä.
How many chickens did you buy?	Kɛ manpɛ̈lɛ̈ɛ̈kni̱ da̱ŋ di̱ cia kɔk tɔni̱?
I got that for almost nothing.	Ɣän thiɛlɛ duɔ̱r mi̱ cä jek thi̱n.
I just want to be your friend.	Ɣän go̱o̱rä ɣöö bi̱ ji̱n ɛ määthdä.
I know someone should do that.	Ɣän ŋa̱cä jɛ i̱ dee ram kɛl ɛ la̱t kä kɛ.
I must finish this work first.	Bä la̱t ɛmɛ yi̱k thuk kɛ nhiam.
I need to tell Tom everything.	Görä ɤöö bä Töm la̲r ŋɔak dial.
I want to return to Australia.	Göörä loc kä Ɣuri̱thi̱ra̱li̱aa.
I'm sorry that you can't stay.	ɤän cä duär /ci kɔn bi̲ ciëŋ kɛl.
It's been three years already.	Jɛn cɛ tee kɛ run da̱ŋ di̱ɔ̱k.
It's easy for you to say that.	Thɛ̱̈kɛ kä ji deri jɛ lar inɔ.
It's easy for you to say that.	Thɛ̱̈kɛ deri jɛ lat.
My eyes get tired very easily.	Wäŋkä la kɛn ŋala cuc kɛ pɛ̈th.
Please give me a cup of water.	Dërɛ gɔaa ɛn ɣöö bi̱ ɣä moc kɛ kubay piini̱..
Tom and Mary are doing better.	Töm kɛnɛ Mɛri̱ lät kɛn a gɔaa.
Tom and Mary are really drunk.	Töm kɛnɛ Mɛri cikɛ yɔ̱ŋ pa̱ny.
Tom cut his hand when he fell.	Ci Töm tetdɛ ŋok min cɛ pɛɛn
Tom doesn't have any children.	Töm jɛn thiɛlɛ jɛ gaat.
