Who?	چه کسی؟
Who is playing the piano?	چه کسی پیانو می نوازد؟
Why do you want this job?	چرا این کار را می خواهی؟
Why does that bother you?	چرا این اذیتت میکنه?
You are completely right.	حق کاملاً با شماست.
You have beautiful hands.	تو دستهای زیبایی داری.
You need to be proactive.	شما احتیاج دارید پیش‌فعال باشید.
A burnt child dreads fire.	مار گزیده از ریسمان سیاه و سفید می‌ترسد.
Air is a mixture of gases.	هوا مخلوطی از گازها است.
Are they actually friends?	آنها واقعا با هم دوستند?
Be kind to little animals.	مهربان باش با حیوانات کوچک.
Call me whenever you want.	هروقت تونستی بهم زنگ بزن
Do you eat rice every day?	آیا هر روز برنج می‌خوری؟
Do you like Japanese food?	آیا شما غذاهای ژاپنی را دوست دارید؟
Do you think I'm too tall?	فکر می‌کنی، که خیلی بلند هستم؟
Do you think I'm too tall?	فکر می‌کنید، که خیلی بلند هستم؟
Do you want to go with us?	شما می خواهید که با ما بروید؟
Every rose has its thorns.	گل بی خار نمی‌شود.
Everybody seeks happiness.	همه به دنبال خوشبختی هستند.
Everything is on schedule.	همه چیز طبق برنامه است.
Exceptions prove the rule.	استثناها قاعده را توجیه می کنند.
Falcons are birds of prey.	بازها پرندگان شکاری هستند.
Has Tom ever been married?	آیا تام تا کنون ازدواج کرده است؟
Have you put on sunscreen?	ضد آفتاب زده ای ؟
He arrived safe and sound.	او به‌سلامت رسید.
He doesn't understand you.	او تو را درک نمی کند.
He got good marks in math.	او در ریاضیات نمرات خوبی گرفت.
He is anything but a fool.	او اصلاً احمق نیست.
He seems to be wary of us.	به نظر می آید او نسبت به ما محتاط است.
He was appointed chairman.	او به ریاست منصوب شد.
He's hiding in the closet.	او در کُمُد پنهان شده است.
He's hiding in the closet.	او در کُمُد قایِم شده.
His condition is critical.	وضعیتش وخیم است.
How do you heat the house?	چه طور خانه را گرم می کنی؟
I asked Tom to keep quiet.	من از تام خواستم ساکت بماند.
I bought a pair of gloves.	من یک جفت دستکش خریدم.
I bought a red sports car.	من یک ماشین اسپورت قرمز خریدم.
I can't put it into words.	نمیتونم در قالب کلمات بذارمش. (گفتنی نیست).
I can't remember anything.	نميتوانم چیزی را بخاطر بیاورم
I don't have any brothers.	من هیچ برادری ندارم.
I don't trust you anymore.	دیگر بهت اعتماد ندارم.
I fell asleep watching TV.	در حین نگاه کردن تلویزیون خوابم برد.
I have a mole on my cheek.	من یک خال روی گونه دارم.
I like listening to music.	من دوست دارم موسیقی گوش کنم.
I rarely watch television.	به نُدرت تلویزیون تماشا می‌کنم.
I remember the first time.	من اولین بار را به یاد دارم.
I suggest you go by train.	پیشنهاد می‌کنم با قطار بروی.
I think that my mom knows.	فکر کنم مادرم میداند.
I want to buy this jacket.	میخواهم این ژاکت را بخرم.
I want to change all that.	من می‌خواهم همه‌چیز را تغییر دهم.
I want to live in comfort.	من می خواهم در آسایش زندگی کنم.
I'll never be happy again.	من هیچگاه دوباره شاد نخواهم شد.
I'll see you in my dreams.	من تو را در رؤیاهایم خواهم دید.
I'll stay out of your way.	من دخالتی در راه و روشت نخواهم کرد.
I'm interested in history.	من به تاریخ علاقه‌مندم.
I've always hated biology.	من همیشه از زیست شناسی متنفر بودم.
It was a national scandal.	این یک رسوایی ملی بود.
It's nearly three o'clock.	نزدیک ساعت سه است.
Mary is my younger sister.	مری خواهر کوچک من است.
Mary is my younger sister.	مری خواهر کوچیکَمه.
My car is being fixed now.	ماشین من الآن درست شد.
My daughter caught a cold.	دخترم سرما خورده بود.
Not all of them are happy.	همه آنها خوشحال نیستند.
Open your book to page 59.	صفحهٔ ۵۹ کتابتان را باز کنید.
Please turn off the light.	لطفا چراغ را خاموش کن.
Remember to lock the door.	یادت باشد در را قفل کنی.
Scorpions have eight legs.	عقرب‌ها هشت پا دارند.
She bought him some candy.	او برای او مقداری شیرینی خرید.
She had no one to turn to.	او هیچ کسی را ندارد که راهنمایی اش کند.
She is Tom's older sister.	او خواهر بزرگتر تام است.
She must be angry with me.	او باید از من عصبانی باشد.
Thank you for inviting me.	از اینکه مرا دعوت کردی، متشکرم.
That gave me a rough idea.	این به من ایده ای کلّی داد.
That's what I said to Tom.	این چیزی است که من به تام گفته ام.
The cat ran after the rat.	گربه به دنبال موش می دوید.
The chair is made of wood.	صندلی از چوب درست شده است.
The criminal was arrested.	مجرم بازداشت شد.
The criminal was arrested.	جنایتکار دستگیر شد.
The lumber is still green.	الوار هنوز سبز است.
The situation is critical.	وضعیت وخیم است.
The two roads cross there.	دو جاده از آنجا عبور می کند.
Their wedding is tomorrow.	عروسی آنها فرداست.
There are five continents.	پنج قاره وجود دارد.
There is little wine left.	کمی شراب باقی مانده است.
There wasn't anyone there.	هیچ کس آنجا نبود.
There's no food right now.	الان اینجا هیچ غذایی نیست.
They are crazy about jazz.	آنها دیوانه ی موسیقی جازند.
They understood my plight.	آنها شرایط بحرانی مرا فهمیدند.
This book costs 4 dollars.	قیمت این کتاب 4 دلار است.
Tom didn't admit anything.	تام زیر بار چیزی نرفت.
Tom didn't admit anything.	تام چیزی را واگذار نکرد.
Tom didn't admit anything.	تام به هیچ چیز اقرار نکرد.
Tom has to look for a job.	تام مجبور است دنبال شغلی جدید بگردد.
Tom knows a lot about you.	تام دربارهٔ تو زیاد می‌داند.
Tom knows a lot about you.	تام دربارهٔ شما زیاد می‌داند.
Tom says that he's lonely.	تام گفت که او تنهاست
Tom shut the kitchen door.	تام در آشپزخانه را محکم به هم زد.
We don't have enough time.	ما وقت کافی نداریم.
We go abroad every summer.	ما همیشه تابستان‌ها به خارج می‌رویم.
We survived by sheer luck.	ما با خوش‌شانسی محض نجات یافتیم.
What is your line of work?	حرفه شما چیست؟
What is your phone number?	شماره تلفنت چیست؟
Whatever she says is true.	هر چه او می گوید حقیقت دارد.
Where did you go swimming?	برای شنا کردن کجا می‌ری؟
Who's that talking to Tom?	او کیست که با تام صحبت می کند؟
You're the one I need now.	تو کسی هستی که الان بهش احتیاج دارم.
"I have to see him." "Why?"	«باید او را ببینم.» «چرا؟»
"Thanks." "You're welcome."	"تشکر." "خواهش می کنم."
After a storm comes a calm.	بعد از هر سربالایی یک سرازیری است.
Big cars burn a lot of gas.	اتوموبیل‌های بزرگ زیاد بنزین مصرف می‌کنند.
Can you measure the length?	آیا می‌توانی طول را اندازه بگیری؟
Check everything once more.	یه بار دیگه همه چیو چک کن.
Common sense has prevailed.	عقل سلیم غالب شد.
Do you know where he lives?	آیا می‌دانی او کجا زندگی می‌کند؟
Doctors removed the bullet.	دکترها گلوله را در آوردند.
Don't take it so seriously.	زیاد جدی نگیر.
He asked me for some money.	او از من مقداری پول خواست.
He decided to sell the car.	تصمیم گرفت ماشین را بفروشد.
He doesn't read many books.	او زیاد کتاب نمی خواند.
He hasn't left any message.	او پیغامی نگذاشته است.
He is a jack-of-all-trades.	او همه فن حریف است.
He is a poet and statesman.	او یک سیاستمدار و شاعر است.
He is a university student.	او دانشجوی دانشگاه است.
His joke made us all laugh.	جک او همه ما را خنداند.
His son trembled with fear.	پسرش از ترس لرزید.
How can we learn the truth?	چگونه حقیقت را دریابیم؟
How many bags did you have?	چند کیف داشتید؟
I arrived in Tokyo at noon.	من ظهر به توکیو رسیدم.
I belong to the music club.	من عضو باشگاه موسیقی هستم.
I don't feel like doing it.	حوصله ندارم!
I don't have a beach house.	من یک خانه ساحلی ندارم.
I don't know if I can come.	نمی‌دانم می‌توانم بیایم.
I don't know what you like.	من نمي دانم شما از چه خوشتان مي آيد
I have blisters on my feet.	من روی پایم تاول دارم.
I have two foreign friends.	من دو دوست خارجی دارم.
I heard the news by chance.	اتفاقی اخبار را شنیدم.
I learned a new word today.	من امروز یک کلمه جدید یاد گرفتم.
I stand by that commitment.	من به آن تعهد پایبند هستم.
I stand by that commitment.	من به آن تعهد پایبندم.
I thanked Tom for his time.	از تام بابت زمانی که گذاشت، تشکر کردم.
I was feeling blue all day.	تمام روز احساس افسردگی می‌کردم.
I work for a travel agency.	من در آژانس مسافرتی کار می کنم.
I'd like to confide in you.	من دوست دارم به تو اعتماد کنم.
I'm going to be in my room.	من در اتاقم خواهم بود.
I'm satisfied with my work.	من از شغلم راضی هستم.
I've never seen a scorpion.	من هرگز عقرب ندیده‌ام.
It is likely to rain again.	به احتمال زیاد دوباره باران می بارد.
It's a lifetime commitment.	این یک تعهد مادام العمر است.
Many hands make light work.	یک دست صدا ندارد.
Metals conduct electricity.	فلزات الکتریسیته را هدایت می‌کنند.
My mother's feeling better.	حال مادرم بهتر است.
My parents had me go there.	والدینم مرا مجبور کردند به انجا بروم.
Parking is prohibited here.	اینجا پارک کردن ممنوع است.
Please come home sometimes.	لطفا گاهی خانه ما بیا.
Please take off your shoes.	لطفاً کفشهایت را در بیاور.
She and I are the same age.	من و او(زن) هم سن هستیم.
She wasn't a bit impatient.	او کم بی تاب نبود.
She's never fallen in love.	او هیچگاه عاشق نشده است.
That baby carriage is ours.	این کالسکه مال ماست.
The medicine tastes bitter.	دارو ها مزه تلخی دارند.
The music stopped abruptly.	آهنگ ناگهانی متوقف شد.
The speed limit was 60 mph.	حد مجاز سرعت 60 مایل بر ساعت بود.
Their house is very modern.	خانه آنها خیلی مدرن است.
There were only three left.	فقط سه‌تا باقی مانده‌است.
They criticized each other.	از یکدیگر انتقاد کردند.
They've washed their hands.	آنان دستانشان را شسته اند.
This film is a masterpiece.	این فیلم یک شاهکار است.
This is a true masterpiece.	این یک شاهکار حقیقی است.
This man is very, very old.	این مرد خیلی خیلی پیر است.
This word comes from Greek.	این واژه از یونانی می آید.
Tom cut down a cherry tree.	تام درخت گیلاسی را قطع کرد.
Tom cut down a cherry tree.	تام درخت گیلاسی را انداخت.
Tom got on the wrong train.	تام اشتباهی سوار قطار شد.
Tom has no criminal record.	تام پیشینهٔ کیفری ندارد.
Tom said that he's retired.	تام گفت که بازنشسته است.
Tom took me under his wing.	تام مرا تحت حمایت خودش قرار داد.
Tom wasn't there yesterday.	تام دیروز آنجا نبود.
Tom will be fine, won't he?	تام حالش خوب می‌شه، مگه نه؟
Violators will be ticketed.	تخطی‌کنندگان جریمه خواهند شد.
We only have three options.	ما فقط سه گزینه داریم.
We talked in sign language.	ما با زبان اشاره صحبت کردیم.
We were at school together.	ما در مدرسه با هم بودیم.
What are you talking about?	درباره چه حرف می زنید؟
Why do we have to help Tom?	چرا ما مجبوریم به تام کمک کنیم؟
Words hurt more than fists.	کلمات بیشتر از مشت ها آسیب می زنند.
Wouldn't that be dangerous?	آیا خطرناک نخواهد بود؟
You can't take it with you.	نمی‌توانی آن را با خود ببری.
You've been a very bad boy.	تو پسر بدی بوده ای.
A bullet pierced the helmet.	گلوله کلاه را سوراخ کرد.
Can you describe the object?	آیا می‌توانی شیء را توصیف کنی؟
Can you please watch my bag?	لطفاً، می توانید مراقب کیف من باشید؟
Does Tom want to go with us?	آیا تام می خواهد که با ما برود؟
Don't forget to write to us.	نامه نوشتن به ما را فراموش نکن.
France is in Western Europe.	فرانسه در اروپای غربی واقع است.
Give it to whoever wants it.	به هر کسی که خواستش آن را بده.
Give me a sip of your drink.	یک جرعه از نوشیدنی‌ات به من بده.
Have you ever pruned a tree?	تا به حال یک درخت را هرس کرده‌اید؟
He began to talk to the dog.	او شروع به صحبت کردن با سگ کرد.
He did not know where to go.	او نمی دانست کجا برود.
He didn't reveal his secret.	او رازش را آشکار نساخت.
He pretended not to hear me.	او وانمود کرد که مرا نمی شنود.
He would have no part of it.	حاضر نبود در آن کار مشارکت کند.
Hitler led Germany into war.	هیتلر آلمانی ها را به جنگ کشانید.
How long have you been busy?	در طول چه مدتی مشغول بودید؟
I can't come with you today.	امروز نمیتونم با تو بیام.
I couldn't find my sandwich.	من نمی‌توانم ساندویچم را پیدا کنم.
I don't have a single enemy.	من یک دشمن منفرد ندارم.
I don't see Tom a whole lot.	با تام اینهمه دیدار ندارم.
I don't see Tom a whole lot.	تام را چنان زیاد ملاقات نمی کنم
I fell asleep while reading.	من در هنگام خواندن به خواب رفتم.
I have blisters on my hands.	من روی دستانم تاول دارم.
I haven't seen you for ages.	من سالها بود که او را ندیده بودم.
I help Tom almost every day.	تقریبا هرروز به تام کمک می کنم.
I just cleaned the bathroom.	همین الآن دست‌شوئی را تمیز کردیم.
I showered before breakfast.	قبل از صبحانه دوش گرفتم.
I thought I could trust you.	فکر کردم می‌توانم بهت اعتماد کنم.
I want to close the account.	می خواهم حسابم را ببندم.
I was compelled to go there.	من مجبور شدم به آنجا بروم.
I will not be busy tomorrow.	فردا مشغول نخواهم بود.
I work every day but Sunday.	من هر روز به جز یکشنبه کار می کنم.
I'll be back by six o'clock.	من حدود ساعت شش خواهم برگشت.
I'm deeply in love with you.	من عمیقاً عاشق شما هستم.
It is a sheer waste of time.	این یک اتلاف وقت محض است.
It's time you faced reality.	الآن زمانی است که با واقعیت روبرو شدی.
Let's see if Tom is at home.	اجازه بده ببینیم تام در خانه است؟
Let's sit here on the grass.	بیا روی چمن بنشینیم.
Let's sit here on the grass.	بگذارید روی علف بنشینیم.
May I park here for a while?	آیا می‌توانم برای مدتی اینجا پارک کنم؟
My mother never punished me.	مامان هیچ وقت منو تنبیه نکرد.
My mother never punished me.	مادرم هرگز مرا تنبیه نکرد.
Not all policemen are brave.	همه ی پلیس ها شجاع نیستند.
Now I know why Tom hates me.	الان میدونم چرا تام از من بدش میاد.
Parents love their children.	والدین بچه هایشان را دوست دارند.
Pass me the salt, would you?	نمک را به من بده، ممکنه؟
Proverbs are full of wisdom.	ضرب المثل‌ها پر از حکمت هستند.
She became a police officer.	او یک افسر پلیس شد.
She called me up from Tokyo.	او از توکیو به من زنگ زد.
She didn't pay me the money.	او پول را به من نداد.
She didn't pay me the money.	او پول را به من پرداخت نکرد.
She likes jazz, and so do I.	او جاز دوست دارد و من هم همینطور.
She proposed giving a party.	او پیشنهاد کرد یک سور بدهد.
She usually walks to school.	او معمولاً پیاده به مدرسه می‌رود.
She usually walks to school.	معمولاً پیاده می‌ره مدرسه.
Tell the others to hurry up.	به دیگران بگو عجله کنند.
There's nothing for me here.	اینجا هیچ چیزی برای من نیست.
This list is not exhaustive.	این لیست جامع نیست.
Tom asks a lot of questions.	تام زیاد سوال میپرسد.
Tom didn't say a word to us.	تام چیزی به ما نگفت.
Tom drives Mary up the wall.	تام ماری را به بالای دیوار می‌راند.
Tom has dyed his hair black.	تام موهایش را به رنگ سیاه رنگ کرد.
Tom is being sent to prison.	تام دارد به زندان فرستاده می‌شود.
Tom is sleeping on the sofa.	تام روی کاناپه خوابیده است.
Tom only thinks about money.	تام فقط به پول فکر می کند.
Tom will be late today, too.	تام نیز امروز دیر خواهد کرد.
Tom will be late today, too.	تام هم امروز دیر خواهد کرد.
We live close to the school.	ما نزدیک مدرسه زندگی می کنیم.
We started at the same time.	ما همزمان شروع کردیم.
We're a peace-loving nation.	ما ملت صلح دوستی هستیم.
What are you hiding from me?	چه چیزی را از من پنهان می‌کنی؟
What exactly are you saying?	دقیقاً چه می‌خواهی بگویی؟
Where can we find the truth?	حقیقت را در کجا می توانیم بیابیم؟
Why did your T-shirt shrink?	چرا تی شرتت آب رفت؟
You have a very good memory.	تو حافظه خیلی خوبی داری.
Your effort deserves praise.	کوششت سزاوار تحسین است.
Your effort deserves praise.	کوششت شایستهٔ تحسین است.
A burnt child fears the fire.	مار گزیده از ریسمان سیاه و سفید می‌ترسد.
A good horse knows its rider.	اسب خوب سوارکار خود را می شناسد.
A good idea crossed his mind.	ایده ی خوبی به ذهنم رسید.
A hare raced with a tortoise.	خرگوش با لاکپشت مسابقه داد.
A scream pierced the silence.	یک فریاد سکوت را شکست.
A word to the wise is enough.	عاقل را اشاره کافیست.
Allow me to introduce myself.	اجازه بده خودم را معرفی کنم.
Anyone who says so is a liar.	هر کسی این را بگوید، یک دروغگوست.
Can you think of any reasons?	آیا تو می توانی به دلایل آن فکر کنی؟
Cut the cake with that knife.	کیک را با آن چاقو ببرید.
Do they deserve our sympathy?	آیا آنها شایستهٔ دلسوزی ما هستند؟
Do they deserve our sympathy?	آیا آنها شایستگی دلسوزی ما را دارند؟
Don't make fun of foreigners.	خارجی ها را مسخره نکن.
Don't make me come back here.	مجبورم نکن به اینجا برگردم.
Escape was almost impossible.	فرار تقریباً ناممکن بود.
Everybody speaks well of her.	همه از او خوب می گویند.
Have you heard the good news?	آیا خبر خوب را شنیده ای؟
He gave me a piece of advice.	او مرا نصیحت کرد.
He is able to speak Japanese.	او می تواند ژاپنی صحبت کند.
He is preparing for the test.	او دارد برای امتحان آماده می شود.
He received a good education.	او از تحصیلات خوبی برخوردار شد.
He rubbed his hands together.	او دستهایش را به هم مالید.
He was operated on yesterday.	دیروز عمل شد.
His pencil has a sharp point.	خودکارش سر تیزی دارد.
His prediction has come true.	پیش‌بینی او درست از کار در آمد.
Honesty pays in the long run.	در درازمدت، درستکاری سود خود را می‌دهد.
How are earthquakes measured?	زمین لرزه‌ها را چگونه اندازه می‌گیرند؟
How much is the monthly rate?	نرخ ماهانه چقدر است؟
I am not acquainted with him.	من با او آشنا نیستم.
I am not concerned with this.	من نگران این نیستم.
I can't answer your question.	من نمی‌توانم به سوال شما پاسخ دهم.
I can't promise you anything.	من نمی توانم به تو هیچ قولی بدهم.
I caught five fish yesterday.	من دیروز پنج تا ماهی گرفتم.
I don't know what else to do.	من نمی دانم چه کار دیگری باید انجام دهم.
I don't want to make excuses.	نمی‌خواهم بهانه بیاورم.
I don't want to make excuses.	نمی‌خوام بهونه بیارم.
I followed the deer's tracks.	رد آهو را دنبال کردم.
I got blisters from the burn.	من از سوختگی تاول زدم.
I got up at six this morning.	من هرروز صبح ساعت شش از خواب بیدار می شوم.
I have absolute faith in you.	من به تو ایمان کامل دارم.
I have some stamps in my bag.	تعدادی تمبر در کیفم دارم.
I know that Tom will be fair.	من می‌دانم که تام منصف خواهد بود.
I seem to have lost my purse.	به نظر می رسد که کیف پولم را گم کردم.
I stayed awake until morning.	تا صبح بیدار ماند.
I think she is a good dancer.	من فکر می کنم که او(دختر) یک رقصنده خوب است.
I thought you'd want to know.	فکر کردم می خواستی بدانی.
I want to be a better person.	من می خواهم فرد بهتری باشم.
I want you to meet my cousin.	می‌خواهم که با پسرعمویم ملاقات کنید.
I wanted everyone to envy me.	از همه خواستم که به من حسادت کنند.
I wanted everyone to envy me.	از همه خواستم که به من رشک بورزند.
I wanted everyone to envy me.	از همه خواستم که به من رشک ببرند.
I wanted everyone to envy me.	از همه خواستم که به من حسد بورزند.
I wanted to work this summer.	من می خواهم این تابستان کار کنم.
I wear a suit, but not a tie.	من کت پوشیدم، اما بدون کراوات.
I wish you'd come last night.	ای کاش دیشب آمده بودی.
I'll clean the kitchen later.	آشپزخانه را بعداً تمیز خواهم کرد.
I'm sure we'll see Tom again.	مطمئنم تام را باز خواهیم دید.
I'm sure we'll see Tom again.	من مطمئن هستم که ما تام را دوباره خواهیم دید.
It is terrible weather today.	امروز هوا بسیار بد است.
Let's take a 10-minute break.	ده دقیقه استراحت می کنیم.
Mary is studying in her room.	مری در حال مطالعه در اتاق خود است.
Money does not grow on trees.	پول سبز نمی‌شود.
Most people like watching TV.	خیلی از مردم تلویزیون دیدن را دوست دارند.
My father has a lot of books.	پدر من بسیار کتاب دارد.
Not all children like apples.	همه بچه ها سیب را دوست ندارند.
Pakistan is a Muslim country.	پاکستان یک کشور اسلامی است.
Set a thief to catch a thief.	گرفتن یک دزد را به یک دزد بسپار.
She began to talk to the dog.	او شروع به صحبت کردن با سگ کرد.
She gets prettier day by day.	او روز به روز زیباتر می شود.
She is proud of her students.	او به پسر مدرسه ای اش افتخار می کند.
She saw him break the window.	او دید که آن مرد شیشه را شکست.
She spoke relatively quickly.	او نسبتا سریع حرف می زند.
She's a lot older than he is.	او (مونث) خیلی از او (مذکر) پیرتر است.
That's completely inaccurate.	آن کاملاً نادقیق است.
The flight took us ten hours.	جدال ده ساعت طول کشید.
The story had a happy ending.	داستان یک پایان خوش داشت.
The weather is extremely hot.	هوا به شدت گرم است.
This classroom is very large.	این کلاس درس خیلی بزرگ است.
This hat is too small for me.	این کلاه برای من خیلی کوچک است.
This hat is too small for me.	این کلاه واسه‌ی من خیلی تنگه.
Tom almost never gets scared.	تام تقریبا هرگز وحشت زده نمی شود.
Tom almost never gets scared.	تام تقریبا هرگز نمی ترسد
Tom didn't feel like waiting.	به نظر نمی رسید تام در حال صبر کردن باشد.
Tom didn't feel like waiting.	تام در حال صبر کردن به نظر نمی رسید.
Tom doesn't have any sisters.	تام خواهر ندارد.
Tom doesn't listen to anyone.	تام به حرف هیچکس گوش نمیدهد.
Tom has a high-pitched voice.	تام صدای زیری دارد.
Tom helped Mary dye her hair.	تام به مری کمک کرد تا موهایش را رنگ کند.
Tom is listening to his iPod.	تام دارد به آیپادش گوش می‌دهد.
Tom is sleeping on the couch.	تام روی کاناپه خوابیده است.
Tom loves to go out at night.	تام خیلی دوست داره که شب بیرون بره.
Tom ought to visit Australia.	بهتر است که تام به استرالیا سر بزند.
Tom ought to visit Australia.	شایسته است که تام به استرالیا سر بزند.
Tom ought to visit Australia.	بهتر است که تام از استرالیا بازدید کند.
Tom ought to visit Australia.	شایسته است که تام از استرالیا بازدید کند.
Variety is the spice of life.	تنوّع ادویه‌ی زندگی ست.
Variety is the spice of life.	تنوّع نمک زندگی ست.
Was there anybody in the car?	کسی تو ماشین بود؟
We saw the monkey at the zoo.	آن میمون را در آن باغ‌وحش دیدیم.
What did you do this morning?	امروز صبح چکار کردی؟
What did you want to ask him?	از او چه می‌خواستی بطلبی؟
What did you want to ask him?	از او چه می‌خواستی بپرسی؟
What did you want to ask him?	از او چه می‌خواستی؟
What did you want to ask him?	از او چه می‌خواستی طلب کنی؟
What language is he speaking?	به چه زبانی دارد صحبت می‌کند؟
What's this chair doing here?	این صندلی اینجا چیکار می کنه؟
What's your favorite dessert?	دسر مورد علاقه ات چیست؟
What's your sister doing now?	خواهرت الان چه کار می کند؟
When will you visit me again?	کی دوباره به من سر میزنی?
Wherever you go, I'll follow.	هر جا که بروی، من دنبالت می آیم.
Why did you say such a thing?	برای چه چنین چیزی گفتی؟
Why do I have to talk to Tom?	چرا من مجبورم که با تام صحبت کنم؟
Why do people dye their hair?	چرا مردم موهایشان را رنگ می کنند.
You have more energy than me.	شما انرژی بیشتری از من دارید.
A cold wave passed over Japan.	یک موج سرما از روی ژاپن گذر کرد.
A fox was caught in the snare.	یک روباه در تله گیر افتاد.
All our attempts were in vain.	تمام تلاش‌هایمان بیهوده بود.
Aren't you even a bit curious?	حتی تو اندکی نیز کنجکاو نیستی؟
Babies crawl before they walk.	نوزادان قبل از راه رفتن گاگله می‌کنند.
Both brothers are still alive.	هر دو برادر هنوز زنده اند.
Did everyone have a good time?	آیا به همه خوش گذشته؟
Do you have someplace to stay?	جایی برای ماندن داری؟
Do you know whose car that is?	می دانی آن ماشین مال چه کسی است؟
Does this bus go to the beach?	آیا این اتوبوس به ساحل می‌رود؟
Every man has his weak points.	هر انسانی نقطه ضعف‌های خود را دارد.
France was at war with Russia.	فرانسه با روسیه در جنگ بود.
Gasoline is sold by the liter.	گازوئیل بصورت لیتری فروخته می شود.
He has a lot of acquaintances.	او آشناهای زیادی دارد.
He is better than anyone else.	او بهتر از هر کس دیگری است.
He returned from the workshop.	او از کارگاه برگشت.
He seems not to have known it.	به نظر می آید او نفهمیده باشد.
He started talking to the dog.	او شروع به صحبت کردن با سگ کرد.
He washes the bike every week.	او هر هفته دوچرخه را می‌شوید.
How much do you want to spend?	تو چقدر می‌خواهی صرف کنی؟
How much do you want to spend?	چقدر می‌خواهید خرج کنید؟
How often have you been there?	چند بار است که اینجا آمده ای؟
Hurry up, or you will be late.	عجله کن، وگرنه دیر خواهی کرد.
I am happy to hear your voice.	از اینکه صدایت را بشنوم خوشحال می شوم.
I got a letter from my friend.	من یک نامه از دوستم دریافت کردم.
I just don't know what to say.	من فقط نمی دانم چه بگویم.
I learned to live without her.	یاد گرفتم که بدون او زندگی کنم.
I left my credit card at home.	کارت اعتباریم را خانه جا گذاشتم.
I normally don't drink coffee.	من معمولا کافه نمینوشم.
I only wish I were part of it.	فقط آرزویم این است که بخشی از آن بودم.
I put the money into the safe.	من پول را در گاوصندوق گذاشتم.
I saw a light in the distance.	من از دور یک روشنایی دیدم.
I saw my mother hide the cake.	دیدم که مادرم کیک را پنهان کرد.
I think Tom is looking for us.	من فکر کنم تام دارد دنبالمان می گردد.
I took care of my sick sister.	من از خواهر بیمارم مراقبت کردم.
I wandered around for a while.	من برای مدتی دور و بر پلکیدم.
I'm not in the mood right now.	الان حس و حالش رو ندارم.
I'm now staying at my uncle's.	در حال حاضر، در منزل عمویم اقامت دارم.
I'm so happy to see you again.	خیلی خوشحالم که دوباره می‌بینمت.
I've persuaded Tom to do that.	من تام را متقاعد کردم که آن کار را انجام دهد.
It is never too late to learn.	برای یادگیری هیچوقت دیر نیست.
Learning English is hard work.	یادگیری زبان انگلیسی کار سختی است.
Let me tell you a funny story.	بگذار برایت یک داستان جالب تعریف کنم.
My parents sent me a postcard.	والدینم برایم کارت پستال فرستادند.
No man alive would believe it.	هیچ انسان زنده ای، آن را باور نخواهد کرد.
One of the teenagers screamed.	یکی از نوجوان ها فریاد کشید.
Our summer is short, but warm.	تابستان ما کوتاه و گرم است.
People said that he is insane.	مردم می گفتند او دیوانه است.
Please take these dishes away.	لطفا این ظروف را ببرید.
She has some money of her own.	او مقداری پول از آن خود دارد.
She is giving a party tonight.	او امشب یک سور می‌دهد.
She likes jazz, and I do, too.	او جاز را دوست دارد، من هم همینطور.
She was anxious about her job.	او نگران شغل خود بود.
Smoking is not permitted here.	کشیدن سیگار اینحا مجاز نیست.
Something bad happened to Tom.	اتفاق بدی برای تام افتاد.
Take care not to catch a cold.	مواظب باش که سرما نخوری.
That business was a gold mine.	بیزینس معدن طلاست.
That wasn't Tom's only secret.	این تنها راز تام نبود.
That's a fascinating question.	این یک سوال جالب است
The candle went out by itself.	شمع خود به خود خاموش شد.
The doctors examined the baby.	دکتر‌ها نوزاد را معاینه کردند.
The files are in proper order.	فایلها در نظم خوبی هستند.
The food here isn't very good.	غذای اینجا خیلی خوب نیست.
The heat withered the flowers.	گرما گلها را پژمرده کرد.
The novel is worthy of praise.	این رمان سزاوار تحسین است.
The novel is worthy of praise.	این رمان سزاوار ستایش است.
The nurse gave you a sedative.	پرستار به شما یک آرام‌بخش داد.
The taxi abruptly turned left.	تاکسی ناهگانی به چپ پیچید.
The whole city knows about it.	تمام شهر از آن باخبر است.
The work is actually finished.	کارم واقعا تمام شده است.
There's no cure for stupidity.	حماقت درمان ندارد.
There's no need to exaggerate.	نیازی به اغراق نیست.
These mushrooms aren't edible.	این قارچ‌ها خوراکی نیستند.
They were alarmed at the news.	آنها از شنیدن این خبر شوکه شدند.
They will hold talks tomorrow.	ایشان فردا گفت‌وگوهایی خواهند داشت.
They will hold talks tomorrow.	آن‌ها فردا بحث‌هایی خواهند داشت.
This is a worthwhile endeavor.	این یک تکاپوی ارزنده است.
This rope isn't strong enough.	این طناب به اندازهٔ کافی قوی نیست.
Today I'm feeling melancholic.	امروز احساس افسردگی دارم.
Tom does nothing but complain.	تام کاری جز شکایت نمی‌کند.
Tom doesn't need to know that.	نیازی نیست که تام از آن مطلع شود.
Tom fixed the circuit breaker.	تام مدار شکن (فیوز) را درست کرد.
Tom has never seen Mary dance.	تام هیچگاه رقص مری را ندیده است.
Tom is playing the violin now.	تام اکنون ویولن می نوازد.
Tom says you can fix anything.	تام می‌گوید تو می‌توانی هرچیزی را تعمیر کنی.
Tom wants to change the world.	تام می خواهد جهان را تغییر دهد.
What is done cannot be undone.	آنچه از دست رفت، دیگر به‌دست نمی‌آید.
What is the depth of the lake?	عمق دریاچه چقدر است؟
