Wow!	Carai!
It was cheaper than I thought.	És més barat del que em vaig pensar.
It's even worse than it looks.	És inclús pitjor del que es veu.
It's even worse than it looks.	És fins i tot pitjor del que es veu.
Let me know whenever you come.	Quan vinguis, fes-m'ho saber.
Most schools are closed today.	La majoria d'escoles avui estan tancades.
My children will come with me.	Els meus fills vindran amb mi.
My dad died before I was born.	Mon pare va morir abans del meu naixement.
Nobody equals him in strength.	Ningú no li fa ombra.
Nobody equals him in strength.	Ningú no li és rival.
Only peace can save the world.	Només la pau pot salvar el món.
Our summer is short, but warm.	El nostre estiu és curt, però calorós.
She didn't tell me her secret.	Ella no em va dir el seu secret.
She is giving a party tonight.	Ella fa una festa aquesta nit.
This eagle's wings are broken.	Les ales d'aquesta àguila estan trencades
This is a very strange letter.	Aquesta és una carta molt estranya.
Tom is a bad influence on you.	En Tom és una mala influència per a tu.
Tom teaches French literature.	En Tom ensenya literatura francesa.
Tom wants to change the world.	En Tom vol canviar el món.
Tom was in Boston at the time.	En aquell moment en Tom era a Boston.
Tom's arm had to be amputated.	Van haver d'amputar el braç al Tom.
Tom's arm had to be amputated.	Li van haver d'amputar el braç a Tom.
What language do you think in?	En quina llengua penses?
You agree with Tom, don't you?	Estàs d'acord amb Tom, no?
Everyone thinks the same thing.	Tothom pensa la mateixa cosa.
He is a very thoughtful person.	És una persona molt considerada.
I don't know when he will come.	No sé quan vindrà.
I don't like it when you swear.	No m'agrada que digues paraulotes.
I don't like it when you swear.	No m'agrada que digueu paraulotes.
I don't speak French or German.	No parlo ni francès ni alemany.
I don't want to read this book.	No vull llegir aquest llibre.
I have breakfast every morning.	Cada dia esmorzo.
I paid him the money last week.	Li vaig pagar els diners la setmana passada.
I started a new book yesterday.	Ahir vaig començar un llibre nou.
I started a new book yesterday.	Ahir em vaig començar un llibre nou.
I wish I could buy that guitar.	Com voldria poder comprar aquesta guitarra.
I wish I could buy that guitar.	M'agradaria poder comprar eixa guitarra.
I wish I could buy that guitar.	Tant de bo pogués comprar aquesta guitarra.
I wish I could buy that guitar.	Tant de bo poguera comprar eixa guitarra.
I'd like to give you something.	M'agradaria donar-te alguna cosa.
I'd like to stay for one night.	M'agradaria quedar-me aquí una nit.
I'm very glad to see you again.	Estic molt content de tornar-te a veure.
Iron is used for ship building.	El ferro s'usa per a construir vaixells.
Is there anything Tom won't do?	Hi ha res que el Tom no faci?
Is there anything Tom won't do?	Hi ha res que el Tom no faria?
Life has become very difficult.	La vida s'ha tornat molt difícil.
My hobby is listening to music.	El meu hobby és escoltar música.
Please circle the right answer.	Encercleu la resposta correcta, sisplau.
The cows looked big and docile.	Les vaques semblaven grans i dòcils.
The leaves fell from the trees.	Les fulles caigueren dels arbres.
The leaves fell from the trees.	Les fulles queien dels arbres.
There's nobody at the entrance.	No hi ha ningú a l'entrada.
This is extremely hard for Tom.	Això és extremadament difícil per a en Tom.
Tom doesn't like confrontation.	A en Tom no li agrada la confrontació.
Tom got escorted off the plane.	Van escortar el Tom fora de l'avió.
Was Tom in history class today?	Estava el Tom a classe d'història avui?
Why are you not in your office?	Per què no estàs a la teua oficina?
All my friends have girlfriends.	Tots els meus amics tenen xicotes.
Can you do anything to help Tom?	Pots ajudar el Tom d'alguna forma?
Can you do anything to help Tom?	Podeu ajudar el Tom d'alguna forma?
Can you do anything to help Tom?	Pots fer res per ajudar el Tom?
Can you do anything to help Tom?	Podeu fer res per ajudar el Tom?
Do you have to go anywhere else?	Que has d'anar a cap altre lloc?
He had a firm belief in his God.	Té una creença ferma en Déu.
He is getting better bit by bit.	Ell s'està millorant poc a poc
He is getting better bit by bit.	Està millorant poc a poc.
He told me an interesting story.	M'ha contat una història interessant.
Helen Keller was deaf and blind.	Hellen Keller era sorda i cega.
How much does he earn per month?	Quant guanya al mes?
I can repeat it again and again.	Puc repetir-ho vint vegades.
I caught the ball with one hand.	Vaig agafar la pilota amb una mà.
I don't want to do that for Tom.	No vull fer-ho per a en Tom.
I heard him sing at the concert.	El vaig sentir cantant al concert.
I was not aware of his presence.	Jo no era conscient que ell estava al davant.
I'm a professional photographer.	Jo sóc fotògraf professional.
I've still got to take my pills.	Encara haig de prendre'm les meves píldores.
Let me know when he will arrive.	Ja em diràs quan arriba.
Please send us more information.	Sisplau, mandi'ns més informació.
She dumped him for a richer man.	Ella va abandonar-lo per un home més ric.
She made the same mistake again.	Ella va cometre una altra vegada la mateixa errada.
She will have a baby next month.	Ella vol tenir un fill el mes vinent.
Thanks a lot for the invitation.	Moltes gràcies per la invitació.
The food didn't taste very good.	El menjar no tenia gaire bon gust.
The food didn't taste very good.	El menjar no feia gaire bon gust.
The new furniture arrived today.	El nou mobiliari ha arribat avui.
The sun appeared on the horizon.	El Sol apareix a l'horitzont.
The sun appeared on the horizon.	El sol aparegué a l'horitzó.
The sun gives us heat and light.	El Sol ens dóna calor i llum.
The sun is larger than the moon.	El Sol és més gran que la Lluna.
They are at 229 Broadway Avenue.	Ells estan a l'avinguda Broadway, número 229.
This sparrow's wings are broken.	Les ales d'aquest pardal estan trencades.
This sparrow's wings are broken.	Les ales d'aquest teuladí estan trencades.
This swallow's wings are broken.	Les ales d'aquesta oroneta estan trencades.
Tom is too young to drive a car.	Tom és massa jove per portar un cotxe.
Tom says he's never owned a car.	El Tom diu que mai ha tingut un cotxe.
Tom was fired for a good reason.	Tom va ser despedit per una causa justa.
We have a French exam on Monday.	Tenim un examen de Francès el dilluns.
What did you think of the movie?	Què t'ha semblat la pel·lícula?
You don't have to kick yourself.	No et facis mala sang.
You should've told me yesterday.	M'ho hauries d'haver dit ahir.
You're still too young to drink.	Encara ets massa jove per a beure.
Your opinion is important to me.	La teua opinió és important per a mi.
Asians generally have black hair.	Els asiàtics normalment tenen el cabell negre,
Do you know who wrote this novel?	Saps qui va escriure aquesta novela?
Do you know who wrote this novel?	Sabeu qui va escriure aquesta novel·la?
Don't compare me to a movie star.	No em comparis amb una estrella de cinema.
He must have reached the station.	Ell deu haver arribar a l'estació.
He went skiing during the winter.	Se'n va anar a esquiar a l'hivern.
I recognized him at first glance.	L'he reconegut a primer cop d'ull.
I saw the moon above the horizon.	Veig la lluna sobre l'horitzont.
In the alphabet, B comes after A.	En l'abecedari la be va després de la a.
My brother-in-law is a policeman.	El meu cunyat és policia.
My father died before I was born.	Mon pare va morir abans del meu naixement.
My father died before I was born.	Mon pare va morir abans que jo nasquera.
My father died before I was born.	El meu pare va morir abans de néixer jo.
Please answer the question again.	Si us plau respongui un altre cop a la pregunta.
Ten years is a long time to wait.	10 anys és un llarg temps per esperar.
The bus arrived ten minutes late.	El bus va arribar deu minuts tard.
The bus arrived ten minutes late.	L'autobús arribà deu minuts tard.
The bus arrived ten minutes late.	L'autobús va arribar amb deu minuts de retard.
The flood caused a lot of damage.	La riada va fer molt de mal.
The flood caused a lot of damage.	La inundació va fer molt de mal.
The policewoman directed traffic.	La policia dirigia el trànsit.
The policewoman directed traffic.	L'agent de policia dirigia el trànsit.
The rumor is true to some extent.	Fins a un cert punt, el rumor és cert.
Thinking is talking with oneself.	Pensar és parlar amb un mateix.
Tom and Mary acted like children.	En Tom i la Mary es portaven com nens.
Tom couldn't hold back his tears.	Tom no va poder contenir les llàgrimes.
Tom couldn't hold back his tears.	Tom no podia contenir les llàgrimes.
Tom doesn't go to school anymore.	Tom ja no va a l'escola.
Tom doesn't like how Mary laughs.	A en Tomàs no li agrada com riu la Maria.
Tom is no longer studying French.	En Tom ja no estudia francès.
Tom took out a pen and a notepad.	En Tom va treure un bolígraf i un bloc de notes.
Tom was walking in front of Mary.	El Tom caminava davant la Mary.
When can we see each other again?	On ens podem tornar a veure?
Why don't you sit down and relax?	Per què no et sentes i et relaxes?
You treated me like a little kid.	Em vas tractar com a un nen petit.
You treated me like a little kid.	Em vas tractar com a una nena petita.
You treated me like a little kid.	Em vas tractar com si fos un nen petit.
You treated me like a little kid.	Em vas tractar com si fos una nena petita.
Are we talking about the same Tom?	Estem parlant del mateix Tom?
Are we talking about the same Tom?	Parlem del mateix Tom?
Both men apologized to each other.	Tots dos homes es van disculpar entre ells.
Can you see that house over there?	Veus la caseta d'allà?
Everyone hoped that she would win.	Tothom esperava que guanyés.
Get me something to drink, please.	Doni'm alguna cosa per beure, si us plau.
He was willing to work for others.	Ell estava disposat a treballar per altres.
I burned my fingers on a hot iron.	Em vaig cremar els dits amb un ferro roent.
I burned my fingers on a hot iron.	Em vaig cremar els dits amb una planxa calenta.
I have nothing in common with her.	No tinc res en comú amb ella.
I just want you to leave me alone.	Només vull que em deixis en pau.
I spend money as soon as I get it.	Em gasto els diners de seguida que en tinc.
I write letters that I never send.	Escric cartes que no envio mai.
I write to my mother once a month.	Escric a la meva mare un cop al mes.
I'd like to give this to you, Tom.	M'agradaria donar-te això, Tom.
I'd like to go back to the office.	M'agradaria tornar a la oficina.
Is Flight 123 going to be delayed?	El vol 123, té retard?
Last night we worked until 10 p.m.	Ahir a la nit vàrem treballar fins a les deu.
Many people eat three meals a day.	Molta gent menja tres àpats al dia.
My father retired at 65 years old.	Mon pare es va jubilar als 65 anys.
My mother knows how to make cakes.	La meva mare sap com fer pastissos.
Tell me your plans for the future.	Explica'm els teus plans per al futur.
Tell me your plans for the future.	Conta'm els teus plans de futur.
Tell me your plans for the future.	Expliqueu-me els vostres plans per al futur.
Thank you so much for inviting me.	Moltes gràcies per la invitació.
That pair of pliers came in handy.	Aquelles alicates em van ser molt útils.
That was a very risky thing to do.	Era una cosa molt arriscada de dur a terme.
There's a dictionary on the table.	Hi ha un diccionari a la taula.
Today's meeting has been canceled.	La reunió d'avui ha sigut cancelada.
Tom is calling from his cellphone.	En Tom truca des del seu telèfon mòbil.
Tom is such a good French speaker.	En Tom és un francòfon tan bo.
Tom never told us why he did that.	En Tom mai no ens va dir per què ho havia fet.
Tom studied literature in college.	En Tom va estudiar literatura a la universitat.
Tom was too frightened to do that.	En Tom estava massa esgarrifat per a fer allò.
Tom's father is older than Mary's.	El pare d'en Tom és més gran que el de la Mary.
We don't know why he had to leave.	No sabem per què va haver de marxar.
We have a French test next Monday.	Tenim un examen de Francès el dilluns.
We're sorry for the inconvenience.	Ens sap greu la molèstia causada.
Where's the nearest travel agency?	On és l'agència de viatges més propera?
Why don't you guys stay for a bit?	Us quedeu una estona?
Why is fishing not permitted here?	Per què està prohibit pescar ací?
Will you show me your photo album?	Em mostraràs el vostre àlbum de fotos?
Bangkok is Thailand's capital city.	Bangkok és la capital de Tailàndia.
Do you want to play tennis with us?	Vols jugar a tennis amb nosaltres?
Fishing in this lake is prohibited.	Està prohibit pescar en aquest llac.
He helped poor people all his life.	Ell va ajudar els pobres tota la seva vida.
He studies contemporary literature.	Ell estudia literatura contemporània.
I can't remember where I bought it.	No puc recordar on el vaig comprar.
I can't remember where I bought it.	No recorde on el vaig comprar.
I can't remember where I bought it.	No recorde on ho vaig comprar.
I can't remember where I bought it.	No recorde on la vaig comprar.
I can't remember where I bought it.	No me'n recorde d'on ho vaig comprar.
I can't remember where I bought it.	No recordo on el vaig comprar.
I didn't do what I was asked to do.	No vaig fer el que se m'havia demanat.
I didn't know that Tom was in town.	No sabia que en Tom era al poble.
I heard a beautiful song yesterday.	Ahir vaig sentir una cançó bonica.
I plan to visit Boston next summer.	Planifico visitar Boston l'estiu que vé.
I thanked him for what he had done.	Li vaig agrair el que va fer.
I'd like to forget the whole thing.	M'agradaria oblidar tot allò.
I'd like to get to know Tom better.	M'agradaria conèixer millor en Tom.
I'd like to meet your older sister.	Voldria trobar-me amb la teva germana gran.
I'd like to meet your older sister.	M'agradaria conèixer la teva germana gran.
I'm the one who pays all the bills.	Jo sóc qui paga totes les factures.
I'm very slow at making up my mind.	Sóc molt lent a l'hora de prendre decisions.
I, too, didn't understand anything.	Jo tampoc entenc res.
Is anybody here willing to do that?	Algú està disposat a fer allò?
Is there a post office around here?	Hi ha alguna oficina postal per aquí?
Is there a post office around here?	Hi ha alguna oficina de correus prop d'ací?
Is there a post office around here?	Hi ha per ací alguna oficina de correus?
Music surrounds our lives like air.	La música envolta les nostres vides com ho fa l'aire.
Only adults are allowed to do that.	Només els adults tenen permís per fer allò.
Switzerland is a beautiful country.	Suïssa és un país molt bonic.
The door is locked at nine o'clock.	La porta es tanca amb clau a les nou.
The elevator is out of order today.	L'ascensor no funciona avui.
The lion is the king of the jungle.	El lleó és el rei de la selva.
The situation is beyond my control.	La situació és més enllà del meu control.
These questions are easy to answer.	Aquestes preguntes són fàcils de respondre.
They all looked for the lost child.	Tots buscaven el nen perdut.
Tom and Mary sang a Christmas song.	En Tom i la Maria van cantar una cançó de Nadal.
Tom couldn't find the light switch.	En Tom no podia trobar l'interruptor del llum.
Tom is much taller than I expected.	El Tom és molt més alt del que m'esperava.
Tom wasn't sure where he should go.	En Tom no estava segur d'on hauria d'anar.
We are sorry for the inconvenience.	Ens sap greu la molèstia causada.
We'll show you how to catch a fish.	T'ensenyarem com atrapar un peix.
We're not going to change anything.	No canviarem res.
We're not here to play or have fun.	No estem aquí per jugar ni per divertir-nos.
What little money I had was stolen.	Els pocs diners que tenia me'ls van robar.
You said that the other day, right?	Això vas dir l'altre día, no?
A lot of jobs are done by computers.	Moltes feines les fan els ordinadors.
Do you wonder why no one trusts him?	T'estranya que ningú hi confiï?
Don't go to sleep with the light on.	No et durmis amb el llum encès.
How do you deal with writer's block?	Com treballes el teu bloqueig escriptor?
I can't remember which is my racket.	No recorde quina és la meua raqueta.
I don't think we can take that risk.	Crec que no podem córrer aquest risc.
I don't think we can take that risk.	Crec que no podem córrer eixe risc.
I have nothing to say to any of you.	No tinc res a dir-vos a cap de vosaltres.
I know that Tom is in Australia now.	Sé que en Tom és a Austràlia ara mateix.
I thought that I saw someone I knew.	Em pensava que havia vist algú que coneixia.
I was caught in a shower on the way.	M'ha enxampat un xàfec pel camí.
I'd like to get you both to help me.	M'agradaria que tots dos m'ajudéssiu.
I'd like to get you both to help me.	M'agradaria que ambdós m'ajudéssiu.
I'd like to reserve a table for two.	M'agradaria reservar una taula per a dos.
I'd like to stay here for one night.	M'agradaria quedar-me aquí una nit.
Is there any other way to get there?	Hi ha alguna altra manera d'arribar allà?
Look that word up in the dictionary.	Cerca aquella paraula al diccionari.
My apartment is on the fourth floor.	El meu apartament està al quart pis.
Night is when most people go to bed.	La nit és quan la majoria de la gent se'n va al llit.
Take this medicine before each meal.	Preneu aquest medicament abans de cada àpat.
The boy asked his mother a question.	El nen li feu una pregunta a la seva mare.
The teacher told me to study harder.	El professor em va dir que estudiés molt.
Tom had acne when he was a teenager.	En Tom tenia acne quan era adolescent.
Tom hasn't sharpened the knives yet.	En Tom encara no ha afilat els ganivets.
Tom is younger than all his friends.	En Tom és més jove que la resta dels seus amics.
Tom may talk to Mary if he wants to.	En Tom, si vol, pot parlar amb la Mary.
Tom may talk to Mary if he wants to.	Tom pot parlar amb Mary, si vol.
Tom said that he tried to help Mary.	El Tom va dir que va intentar ajudar la Mary.
Tom woke up when the telephone rang.	En Tom va despertar-se quan el telèfon va sonar.
When did you begin studying English?	Quan vas començar a estudiar anglès?
Why are you taking so much medicine?	perquè prens tant de medicament?
Are you brushing your teeth properly?	T'estàs raspallant bé les dents?
Can we spend the night in that hotel?	Podem passar la nit en aquell hotel.
Flowers die if they don't have water.	Sense aigua les flors es panseixen.
His arrogance is no longer tolerable.	La seva arrogància ja no és tolerable.
His courage is worthy of high praise.	La seva valentia mereix grans lloances.
I always get nervous in her presence.	La seva presència em posa sempre nerviós.
I didn't have to tell Tom, but I did.	No li ho havia de dir per força, a en Tom, però ho vaig fer.
I felt that I needed to do something.	Vaig sentir la necessitat de fer alguna cosa.
I know that Tom is a very clumsy guy.	Sé que el Tom és bastant maldestre.
I know that Tom is a very clumsy guy.	Sé que el Tom és bastant sapastre.
I know that Tom is a very clumsy guy.	Sé que el Tom és bastant pocatraça.
I must discuss the new plan with Tom.	He de debatre el nou pla amb en Tom.
I planted an apple tree in my garden.	He plantat un pomer al meu jardí.
I really must have my watch repaired.	He de dur el rellotge a arreglar.
I'd like to find somebody to talk to.	M'agradaria trobar algú amb qui poder xerrar.
I'm not sure when Tom will come back.	No estic segur de quan tornarà Tom.
I'm sick. Will you send for a doctor?	Estic malalt. Oi que avisaràs un metge?
I'm sure of winning the championship.	Estic segur de guanyar el campionat.
It might be easier for us to do that.	Podria ser-nos més fàcil a nosaltres fer-ho.
Please write to me from time to time.	Escriu-me de tant en tant, sí?
They never returned to their country.	No van tornar mai al seu país.
Tom wants me to play soccer with him.	En Tom vol que jugui a futbol amb ell.
Tom's cat disappeared for a few days.	El gat d'en Tom va desaparèixer uns quants dies.
Trees shelter my house from the wind.	Els arbres protegeixen la meva casa del vent.
We've talked it over among ourselves.	N'hem parlat entre nosaltres.
What are you going to eat for dinner?	Que soparàs avui?
What do you want to talk to me about?	De què vols parlar amb mi?
What languages are spoken in America?	Quins idiomes es parlen a Amèrica?
What's your opinion of Japanese food?	Quina és la teva opinió sobre el menjar japonès?
As long as there's life, there's hope.	Mentre hi ha vida, hi ha esperança.
Don't you get bored when you're alone?	No s'avorreix quan està sol?
Drink your coffee before it gets cold.	Beu-te el cafè abans no se refredi.
Everyone was listening very carefully.	Tots estaven escoltant atentament.
He had a queer expression on his face.	Ell lluïa un visatge estrany.
He is three years younger than Father.	Ell és tres anys més jove que el pare.
I do not live to eat, but eat to live.	Jo no visc per menjar sinò que menjo per viure.
I don't know what has happened to him.	No sé què li ha passat.
I don't know who painted this picture.	No sé qui va pintar aquest quadre.
I know I can't throw a ball very well.	Sé que no tinc la mà trencada a llençar boles.
I know Tom isn't a member of our club.	Sé que en Tom no és membre del nostre club.
I like white roses more than red ones.	M'agraden més les roses blanques que les vermelles.
I thought I was having a heart attack.	Em pensava que estava tenint un atac de cor.
I was the one who knocked on the door.	Vaig ser jo qui va trucar a la porta.
I'd like to get a copy of that report.	Voldria una còpia de l'informe.
I'll make an exception just this once.	Faré una excepció només per aquesta vegada.
I'm the one who takes out the garbage.	Jo sóc qui treu les escombraries.
In general, men are taller than women.	En general, els homes són més alts que les dones.
Japan imports a large quantity of oil.	El Japó importa una gran quantitat de petroli.
Mary's doctor advised her to exercise.	El metge de la Mary li va aconsellar que fes exercici.
No one knows why Tom hasn't done that.	Ningú sap perquè el Tom no ho ha fet.
Please correct me if I make a mistake.	Si us plau, corregeix-me si m'equivoco.
They agreed to elect him as president.	Es van posar d'acord per triar-lo com president.
We're going to leave tomorrow morning.	Sortirem demà al dematí.
Which is larger, the sun or the earth?	Quin és més gran: el Sol o la Terra?
Why are we wasting our time with this?	Per què estem perdent el temps amb això?
Will the work be finished by tomorrow?	Estarà enllestida la feina per a demà?
You should ask Tom to do that for you.	Li hauries de demanar al Tom que ho faci per tu.
"Is she reading a book?" "Yes, she is."	"Està llegint un llibre?" "Sí."
"Is she reading a book?" "Yes, she is."	"Està ella llegint un llibre?" "Sí."
A detective arrived at the crime scene.	Un detectiu va arribar a l'escena del crim.
About how long does it take to do that?	Quant dura fer allò més o menys?
All my friends like playing videogames.	A tots els meus amics els agraden els videojocs.
Blue lines on the map designate rivers.	Les línies blaves al mapa designen rius.
How much time do you spend on Facebook?	Quant de temps passes a Facebook?
I didn't show those pictures to anyone.	No vaig ensenyar aquelles fotos a ningú.
I don't know exactly when I'll be back.	No sé exactament quan tornaré a ser aquí.
I don't know whether it is true or not.	No sé si és veritat o no.
I don't think Tom was talking about me.	No crec que Tom estigués parlant de mi.
I have cookies for breakfast every day.	Cada dia menjo galetes per esmorzar.
I haven't done that since I was twelve.	No ho he fet des que tenia dotze anys.
I'm sorry for yelling at you yesterday.	Em sap greu haver-te xisclat ahir.
I've been doing that for several years.	Ho he estat fent moltíssims anys.
I've been waiting for this day to come.	He estat esperant que arribi aquest dia.
Mathematics is important in daily life.	Les matemàtiques són importants a la vida diària.
The Japanese economy developed rapidly.	L'economia japonesa es va desenvolupar depressa.
The class was divided into four groups.	La classe es va dividir en quatre grups.
The earth is much larger than the moon.	La Terra és molt més gran que la Lluna.
There are billions of stars in the sky.	Hi ha mil milions d'estels al cel.
There are billions of stars in the sky.	Hi ha mil milions d'estrelles al cel.
They arrived in America a few days ago.	Van arribar a Amèrica fa uns quants dies.
They arrived late because of the storm.	Ells van arribar tard a causa de la tempesta.
They say golf is very popular in Japan.	Diuen que el golf és molt popular al Japó.
This is the best book I have ever read.	És el millor llibre que he llegit mai.
Three were sentenced to life in prison.	Es va sentenciar amb cadena perpètua a tres persones.
Tom is interested in French literature.	En Tom està interessat en la literatura francesa.
Tom is making great progress in French.	En Tom està progressant molt amb el francès.
Tom is sick, so he can't do that today.	El Tom està malalt, pel que no podrà fer això avui.
Tom is younger than all of his friends.	En Tom és més jove que la resta dels seus amics.
Tom said that you were going to Boston.	El Tom va dir que anaves a Boston.
Tom said that you were going to Boston.	El Tom va dir que marxaves a Boston.
Tom spent weeks preparing for his trip.	En Tom va passar-se setmanes preparant-se per al seu viatge.
Tom wasn't sure what he should do next.	En Tom no estava segur de què hauria de fer després.
You have to take a look at the patient.	Has de fer-li una ullada al malalt.
Can I buy a ticket for the concert here?	Puc comprar aquí una entrada per al concert?
Did you bring what I asked you to bring?	Has portat el que et vaig demanar que portessis?
Even a child could answer that question.	Fins i tot un nen pot respondre aquesta pregunta.
He fought against racial discrimination.	Va lluitar contra la discriminació racial.
I have problems communicating in French.	Tinc problemes comunicant-me en francès.
I know that there was a big church here.	Sé que aquí hi havia una església gran.
I noticed that she sat in the front row.	Vaig notar que ella va seure a la fila del davant.
I was in the shower when the phone rang.	Estava en la dutxa quan ha sonat el telèfon.
I'd like to have a little talk with you.	M'agradaria xerrar una mica amb tu.
I'd like to have a little talk with you.	M'agradaria parlar una mica amb tu.
It's a topic that isn't often discussed.	És un tema del qual se sol parlar poc.
It's a topic that's not often discussed.	És un tema del qual se sol parlar poc.
My husband and daughter are fast asleep.	El meu marit i la meva filla dormen com un soc.
No one knows what tomorrow has in store.	Ningú no sap què ens brinda el demà.
Please raise your hand before you speak.	Per favor, alça la mà abans de parlar.
The men are wearing short sleeve shirts.	Els homes porten camises de màniga curta.
Three boys were standing in front of me.	Hi havia tres nois al meu davant.
What do these dots represent on the map?	Què signifiquen aquests punts al mapa?
Will you please stop talking about food?	Podries deixar de parlar de menjar?
Write these words down in your notebook.	Escriu aquestes paraules al teu quadern.
German is the best language in the world.	L'alemany és la millor llengua del món.
How is anyone ever going to find us here?	Com redimonis ens podrà trobar algú aquí?
How many people are there in your family?	Quants són a la seva família?
I asked him many questions about ecology.	Li vaig fer moltes preguntes sobre ecologia.
I don't have the strength to keep trying.	No tinc la força per continuar triant.
I want to make sure we have enough water.	Vull estar segur que tenim suficient aigua.
I want to make sure we have enough water.	Em vull assegurar que tenim prou aigua.
I will ask him where he went last Sunday.	Li preguntaré on va anar el diumenge.
I'm surprised that he accepted the offer.	Em sorprèn que acceptés l'oferiment.
It is dangerous to cross that old bridge.	És perillós creuar aquell pont vell.
It is difficult to speak three languages.	És difícil parlar tres llengues.
It was a party to celebrate her birthday.	Era una festa per a celebrar el seu aniversari.
There are many beautiful parks in London.	A Londres hi han molts parcs bonics.
They live on the other side of the river.	Viuen a l'altra banda del riu.
Tom does everything he can to save money.	En Tom fa tot el que pot per estalviar.
Tom goes to Boston every once in a while.	En Tom va a Boston de tant en tant.
Tom is the captain of this baseball team.	Tom és el capità d'aquest equip de beisbol.
Tom isn't the only one here who's hungry.	En Tom no és l'únic aquí famolenc.
Clouds are what I most like about the sky.	Els nuus són el que més m'agrada del cel.
I am sure of his winning the tennis match.	Estic segur de la seva victòria al tennis.
I did basically the same thing as Tom did.	He fet bàsicament el mateix que ha fet el Tom.
I don't know the reason why he went there.	No sé el motiu pel qual va anar-hi.
I think you might have trouble doing that.	Crec que tindràs problemes per fer allò.
I'd like to give you the key, but I can't.	M'agradaria donar-te la clau, però no puc.
I'd like to go with you if you don't mind.	Si no us importa, m'agradaria anar amb vosaltres.
I'd like to know when you can send it out.	M'agadaria saber quan ho pot enviar.
It's strange that our friends aren't here.	És extrany que els nostres amics no estiguin aqui.
Nothing happens unless you make it happen.	No passa res si tu no fas que passi.
The girl dressed in white is his fiancée.	La noia de blanc és la seva promesa.
The girl dressed in white is his fiancée.	La noia vestida de blanc és la seva xicota.
This is the best book that I've ever read.	És el millor llibre que he llegit mai.
Tom leaves for work at 6:30 every morning.	En Tom surt a treballar cada matí a dos quarts de set.
Tom used to cry a lot when he was a child.	Tom plorava molt quan era un xiquet.
Tom's parents were missionaries in Africa.	Els pares d'en Tom eren missioners a l'Àfrica.
Why is it forbidden to fish in this river?	Per què està prohibit pescar en este riu?
You guys have never been to Europe, right?	No heu estat mai a Europa, oi?
As we go up higher, the air becomes cooler.	Com més amunt anem, més fresc és l'aire.
Do you support or oppose the death penalty?	Estàs a favor o en contra de la pena de mort?
How can you eat an enchilada without salsa?	Com et pots menjar una entxilada sense salsa?
How many letters are there in the alphabet?	Quantes lletres té l'abecedari?
How many letters are there in the alphabet?	Quantes lletres conté l'alfabet?
I don't have anything to say to any of you.	No tinc res a dir-vos a cap de vosaltres.
I don't know for certain when he will come.	No sé del cert quan vindrà.
I eat a boiled egg for breakfast every day.	Cada dia em menjo un ou dur per esmorzar.
I have been studying French four years now.	Fa quatre anys que estudio francès.
I told you to be here on time this morning.	Et vaig dir que havies de ser aquí puntual aquest matí.
I was surprised Tom didn't need to do that.	Em va sorprendre que en Tom no necessités fer-ho.
I'll let Tom know that you want to see him.	Faré saber a en Tom que vols veure'l.
I'm fed up with him always preaching to me.	Estic tip que em sermonegi constantment.
I'm fed up with him always preaching to me.	Estic tip dels seus sermons constants.
I'm getting off the train at the next stop.	Em baixo del tren a la pròxima estació.
It seems those two are made for each other.	Sembla que aquell parell estan fets l'un per l'altre.
The protestors accused the police of abuse.	Els manifestants van acusar a la policia d'abús.
There's only one shop that sells this book.	Només hi ha una botiga que vengui aquest llibre.
This is the place where my father was born.	Aquest és el lloc on va nèixer el meu pare.
Tom couldn't imagine his life without Mary.	En Tom no podia imaginar la seva vida sense la Maria.
Tom didn't think Mary would be so careless.	En Tom no es pensava que la Maria passaria tant de tot.
Tom is young, but he knows what he's doing.	El Tom és jove, però sap el que està fent.
Tom said that Mary has only done that once.	El Tom va dir que la Mary ho havia fet només un cop.
Tom said that Mary has only done that once.	El Tom digué que la Mary ho havia fet només una vegada.
When will it be convenient for you to come?	Quan li convendria venir?
Can you remember the first time you saw Tom?	Podeu recordar el primer cop que heu vist en Tom?
Give him this message the moment he arrives.	Dóna-li aquest missatge quan arribi.
How about if we go play golf this afternoon?	Què tal si anem a jugar a golf aquesta tarda?
How much time do you spend with your spouse?	Quant de temps passa vostè amb el seu cònjuge?
I demanded that he pay the bill immediately.	Li vaig demanar de pagar la factura immediatament.
I feel like telling him what I think of him.	Tinc ganes de dir-li què penso d'ell.
I had fun hanging out with Tom last weekend.	M'ho vaig passar pipa el cap de setmana passat quan vaig sortir amb en Tom.
I had fun hanging out with Tom last weekend.	M'ho vaig passar bomba el cap de setmana passat quan vaig quedar amb en Tom.
I have a lot of money in my savings account.	Tinc molts diners al meu compte d'estalvi.
I lived in Boston before I moved to Chicago.	Vivia a Boston abans de mudar-me a Chicago.
I really need to take care of some business.	He de tenir cura d'alguns negocis.
I refused to eat until my parents came home.	No vaig voler menjar fins que els meus pares no tornessin a casa.
I've always dreamed of opening a restaurant.	Sempre he somiat amb obrir un restaurant.
Japan imports great quantities of crude oil.	El Japó importa una gran quantitat de petroli.
My friend doesn't believe that ghosts exist.	El meu amic no es creu que els fantastes existeixen.
My friend doesn't believe that ghosts exist.	La meva amiga no es creu que els fantastes existeixen.
My friend doesn't believe that ghosts exist.	El meu amic no creu que els fantastes existeixin.
